link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/ainsmed01.shtml,Eddie Ainsmith,False,False,15,.232,707,22,6.3,320,300,.296,.324,.620,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aitonge01.shtml,George Aiton,False,False,1,.235,4,0,0.0,1,1,.381,.235,.616,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akejo01.shtml,John Ake,False,False,1,.192,10,0,-0.3,2,1,.208,.231,.438,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akersbi01.shtml,Bill Akers,False,False,4,.261,124,11,1.4,69,64,.349,.404,.753,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akiyash01.shtml,Shogo Akiyama,False,True,2,.224,71,0,-0.3,21,32,.320,.274,.594,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberha01.shtml,Hanser Alberto,False,True,6,.276,322,17,3.9,106,136,.298,.383,.681,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberbu01.shtml,Butch Alberts,False,False,1,.278,5,0,-0.1,0,1,.278,.333,.611,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albergu01.shtml,Gus Alberts,False,False,3,.197,84,1,0.6,50,62,.298,.256,.554,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alberjo02.shtml,Johnny Albertson,False,False,1,.250,3,0,-0.1,0,1,.308,.250,.558,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albieoz01.shtml,Ozzie Albies,False,True,5,.273,613,90,14.4,311,365,.325,.477,.802,1,0,0,0,2,2
http://www.baseball-reference.com/players/a/albrija01.shtml,Jack Albright,False,False,1,.232,23,2,0.1,5,9,.303,.333,.636,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcanar01.shtml,Arismendy Alcántara,False,False,4,.189,81,11,-0.6,39,51,.235,.315,.550,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcanis01.shtml,Israel Alcántara,False,False,3,.270,31,6,-0.4,15,15,.306,.452,.758,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcanse01.shtml,Sergio Alcántara,False,True,2,.199,48,6,0.2,18,32,.296,.332,.628,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcarlu01.shtml,Luis Alcaraz,False,False,4,.192,70,4,-1.7,29,30,.235,.260,.495,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcocsc01.shtml,Scotty Alcock,False,False,1,.173,27,0,-0.7,7,12,.213,.224,.438,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aldremi01.shtml,Mike Aldrete,False,False,10,.263,565,41,8.8,271,277,.356,.377,.733,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/aldrico01.shtml,Cory Aldridge,False,False,2,.056,1,0,-0.4,1,1,.056,.167,.222,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alenoch01.shtml,Chuck Aleno,False,False,4,.209,67,2,-0.7,34,34,.281,.281,.563,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexa03.shtml,Alexander,False,False,1,,0,0,0.0,0,0,,,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexach01.shtml,Chuffy Alexander,False,False,3,.263,142,1,0.9,44,72,.292,.338,.630,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexada01.shtml,Dale Alexander,False,False,5,.331,811,61,13.6,459,369,.394,.497,.891,0,0,0,1,0,0
http://www.baseball-reference.com/players/a/alexaga01.shtml,Gary Alexander,False,False,7,.230,293,55,0.6,202,169,.311,.411,.722,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexahu01.shtml,Hugh Alexander,False,False,1,.091,1,0,-0.3,0,0,.091,.091,.182,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexako01.shtml,Koke Alexander,False,False,2,.276,95,2,1.6,44,49,.346,.381,.727,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexama02.shtml,Manny Alexander,False,False,11,.231,293,15,-2.4,115,166,.282,.324,.606,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexama01.shtml,Matt Alexander,False,False,9,.214,36,0,-1.0,4,111,.294,.262,.556,1,0,0,0,0,0
