link,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_ko9,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/a/albural01.shtml,False,False,7,3.16,1.314,245.0,.680,17,10.7,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/alburvi01.shtml,False,False,4,4.11,1.497,372.2,.514,18,4.7,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcaljo01.shtml,False,True,3,3.48,1.043,85.1,.417,5,9.4,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcalsa01.shtml,False,False,2,4.76,1.516,249.1,.560,14,5.1,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcanra01.shtml,False,False,2,7.19,1.489,46.1,.286,2,5.1,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alcansa01.shtml,False,True,5,3.49,1.219,487.1,.370,20,8.0,,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/alcanvi01.shtml,False,False,3,4.28,1.338,80.0,.571,4,5.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alderda01.shtml,False,False,2,6.56,1.794,35.2,.000,0,2.8,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aldresc01.shtml,False,False,9,6.02,1.623,499.2,.339,20,5.6,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/aldrija01.shtml,False,False,3,4.72,1.454,108.2,.545,6,3.8,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/aldrivi01.shtml,False,False,9,3.76,1.364,1600.2,.548,97,3.0,,6,1,0,0,0,0
http://www.baseball-reference.com/players/a/alexabo01.shtml,False,False,2,10.64,2.273,11.0,.500,1,1.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexabu01.shtml,False,False,4,6.14,1.646,348.2,.244,10,3.4,,4,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexado01.shtml,False,False,19,3.76,1.293,3367.2,.527,194,4.1,,3,0,0,0,0,1
http://www.baseball-reference.com/players/a/alexage01.shtml,False,False,3,5.79,1.694,98.0,.667,6,5.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexape01.shtml,True,False,20,2.56,1.121,5190.0,.642,373,3.8,,32,1,0,0,5,0
http://www.baseball-reference.com/players/a/alexasc02.shtml,False,True,7,3.16,1.337,205.0,.571,12,7.0,,7,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexate01.shtml,False,False,8,3.77,1.325,131.1,.583,7,4.5,,2,1,0,0,0,0
http://www.baseball-reference.com/players/a/alexaty01.shtml,False,True,3,4.13,1.309,196.1,.313,5,7.7,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexyaj01.shtml,False,True,1,4.70,1.304,23.0,.750,3,6.7,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alfonan01.shtml,False,False,11,4.11,1.512,613.0,.486,35,5.9,,129,1,0,0,0,0
http://www.baseball-reference.com/players/a/allarbr01.shtml,False,False,3,4.23,1.338,95.2,.400,4,4.1,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allarko01.shtml,False,True,4,5.95,1.436,211.2,.276,8,7.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbo03.shtml,False,False,1,6.75,2.167,12.0,.000,0,6.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbo04.shtml,False,False,5,4.11,1.533,274.0,.368,7,6.5,,19,0,0,0,0,0
http://www.baseball-reference.com/players/a/allencl02.shtml,False,False,2,9.47,2.474,19.0,.000,0,6.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allencl01.shtml,False,False,1,6.84,1.920,25.0,.333,1,3.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenco01.shtml,False,False,8,3.14,1.225,463.2,.436,24,11.5,,153,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenfr01.shtml,False,False,6,2.93,1.305,970.1,.431,50,4.2,,3,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenha03.shtml,False,False,2,7.20,1.563,80.0,.462,6,4.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenho02.shtml,False,False,4,6.61,1.714,65.1,.222,2,4.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenjo01.shtml,False,False,1,18.00,2.000,2.0,,0,9.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenjo02.shtml,False,False,13,3.75,1.326,1950.1,.654,142,4.9,,16,1,0,0,0,1
http://www.baseball-reference.com/players/a/allenll01.shtml,False,False,7,4.69,1.638,297.1,.242,8,5.9,,22,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenlo01.shtml,False,True,3,5.89,1.613,88.2,.286,4,6.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenne01.shtml,False,False,11,3.88,1.419,988.1,.453,58,5.6,,75,0,0,0,0,0
http://www.baseball-reference.com/players/a/allgeni01.shtml,False,True,1,0.00,0.000,1.0,,0,0.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allis02.shtml,False,False,1,3.00,1.444,9.0,1.000,1,6.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisda01.shtml,False,False,1,7.36,1.909,11.0,.500,1,3.3,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisma01.shtml,False,False,3,3.17,1.273,246.2,.300,9,2.1,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/almanar01.shtml,False,False,7,4.82,1.514,214.2,.519,14,9.7,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/almanca01.shtml,False,False,8,4.82,1.397,239.0,.500,13,6.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almoned01.shtml,False,False,1,11.12,2.294,11.1,,0,5.6,,0,0,0,0,0,0
