link,name,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_so,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/t/tollesh01.shtml,Shawn Tolleson,False,False,5,3.92,1.294,218.0,.636,14,213,2.2,46,0,0,0,0,0
http://www.baseball-reference.com/players/t/tollias01.shtml,Ashur Tolliver,False,False,2,4.66,1.655,9.2,1.000,1,10,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomandi01.shtml,Dick Tomanek,False,False,5,4.95,1.485,231.0,.500,10,166,-0.4,7,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomasan01.shtml,Andy Tomasic,False,False,1,18.00,2.800,5.0,.000,0,2,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomkobr01.shtml,Brett Tomko,False,False,14,4.65,1.366,1816.0,.493,100,1209,10.7,2,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomlida01.shtml,Dave Tomlin,False,False,13,3.82,1.449,511.1,.676,25,278,-0.9,12,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomlijo01.shtml,Josh Tomlin,False,True,12,4.77,1.231,1067.0,.552,69,736,5.3,2,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomlira01.shtml,Randy Tomlin,False,False,5,3.43,1.246,580.1,.492,30,297,6.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tompkch01.shtml,Chuck Tompkins,False,False,1,0.00,1.667,3.0,,0,1,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tompkro01.shtml,Ron Tompkins,False,False,2,3.96,1.280,50.0,.000,0,24,0.7,3,0,0,0,0,0
http://www.baseball-reference.com/players/t/tomsto01.shtml,Tommy Toms,False,False,3,5.40,1.800,23.1,.000,0,12,-0.5,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/toneyfr01.shtml,Fred Toney,False,False,12,2.69,1.188,2206.0,.577,139,718,25.8,12,1,0,0,0,0
http://www.baseball-reference.com/players/t/tonkido01.shtml,Doc Tonkin,False,False,1,6.75,4.125,2.2,,0,0,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tonkimi01.shtml,Michael Tonkin,False,False,5,4.43,1.428,146.1,.500,3,149,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/toolest01.shtml,Steve Toole,False,False,4,4.79,1.616,443.0,.509,27,141,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/topaju01.shtml,Justin Topa,False,True,2,10.64,1.818,11.0,.000,0,13,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/toppiru01.shtml,Rupe Toppin,False,False,1,13.50,3.000,2.0,,0,1,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torialo01.shtml,Lonnie Torian,False,False,1,3.00,1.667,9.0,1.000,1,0,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torkere01.shtml,Red Torkelson,False,False,1,7.66,2.060,22.1,.667,2,10,-1.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torrepa01.shtml,Pablo Torrealba,False,False,5,3.27,1.584,239.1,.316,6,113,3.3,5,0,0,0,0,0
http://www.baseball-reference.com/players/t/torreal01.shtml,Álex Torres,False,False,4,2.68,1.283,154.1,.636,7,157,2.0,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/torrean01.shtml,Ángel Torres,False,False,1,2.16,1.800,8.1,,0,8,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torrear01.shtml,Armando Torres,False,False,1,11.05,2.318,14.2,.000,0,5,-0.8,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torreca01.shtml,Carlos Torres,False,False,10,4.09,1.350,506.2,.492,30,447,3.9,5,0,0,0,0,0
http://www.baseball-reference.com/players/t/torredi01.shtml,Dilson Torres,False,False,1,6.09,1.647,44.1,.333,1,28,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/torrejo02.shtml,José Torres,False,False,2,4.04,1.178,71.1,.636,7,66,0.6,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/torresa01.shtml,Salomón Torres,False,False,12,4.31,1.423,847.1,.431,44,540,5.6,57,0,0,0,0,0
http://www.baseball-reference.com/players/t/torremi01.shtml,Mike Torrez,False,False,18,3.96,1.450,3043.2,.536,185,1404,22.9,0,1,0,0,0,0
http://www.baseball-reference.com/players/t/tostlo01.shtml,Lou Tost,False,False,3,3.65,1.384,155.1,.476,10,46,1.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tothpa01.shtml,Paul Toth,False,False,3,3.80,1.203,192.0,.429,9,82,1.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/touchcl01.shtml,Clay Touchstone,False,False,3,6.53,2.081,20.2,,0,6,-0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/toussto01.shtml,Touki Toussaint,False,True,4,5.46,1.497,145.0,.600,9,155,-0.9,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/towerjo01.shtml,Josh Towers,False,False,8,4.95,1.381,731.1,.450,45,389,2.2,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/townsha01.shtml,Happy Townsend,False,False,6,3.59,1.380,1137.2,.293,34,473,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/townsir01.shtml,Ira Townsend,False,False,2,3.86,1.929,14.0,,0,1,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/townsle01.shtml,Leo Townsend,False,False,2,2.81,0.974,25.2,.400,2,0,0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tozerbi01.shtml,Bill Tozer,False,False,1,1.69,1.406,10.2,,0,5,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trabebi01.shtml,Billy Traber,False,False,5,5.65,1.591,215.0,.462,12,152,-0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/traburu01.shtml,Russell Trabue,False,False,1,6.23,1.615,26.0,.333,1,3,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tracese01.shtml,Sean Tracey,False,False,1,3.38,1.125,8.0,,0,3,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trachst01.shtml,Steve Trachsel,False,False,16,4.39,1.411,2501.0,.474,143,1591,25.1,0,0,0,0,0,1
http://www.baseball-reference.com/players/t/tracyma01.shtml,Matt Tracy,False,False,1,0.00,2.000,2.0,,0,1,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trautfr01.shtml,Fred Trautman,False,False,1,6.00,1.667,3.0,,0,2,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trautjo01.shtml,John Trautwein,False,False,1,9.00,2.188,16.0,.000,0,8,-0.6,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/traveal01.shtml,Allan Travers,False,False,1,15.75,4.125,8.0,.000,0,1,-0.5,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/travebi01.shtml,Bill Travers,False,False,9,4.10,1.387,1120.2,.478,65,488,7.5,1,0,0,0,0,1
http://www.baseball-reference.com/players/t/treadel01.shtml,Elbert Treadway,False,False,1,0.00,1.250,4.0,,0,2,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/treadha01.shtml,Harold Treadwell,False,False,5,5.16,1.552,212.2,.321,9,105,1.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/treinbl01.shtml,Blake Treinen,False,True,8,2.87,1.235,498.0,.538,35,498,10.3,79,1,0,0,0,1
http://www.baseball-reference.com/players/t/trekeha01.shtml,Harry Trekell,False,False,1,4.50,1.100,30.0,.000,0,15,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tremebi01.shtml,Bill Tremel,False,False,3,4.05,1.396,91.0,.667,4,34,1.2,6,0,0,0,0,0
http://www.baseball-reference.com/players/t/trentte01.shtml,Ted Trent,False,False,11,3.36,1.287,1185.1,.583,81,691,20.5,6,0,0,0,0,4
http://www.baseball-reference.com/players/t/tricebo01.shtml,Bob Trice,False,False,3,5.80,1.612,152.0,.500,9,28,-0.8,0,1,0,0,0,0
http://www.baseball-reference.com/players/t/triggan01.shtml,Andrew Triggs,False,False,4,4.68,1.313,171.1,.474,9,155,0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trimbjo01.shtml,Joe Trimble,False,False,2,7.48,1.800,21.2,.000,0,10,-0.7,0,0,0,0,0,0
